bedroom,bathroom,floors,parking,location,dhur,Aana,Paisa,Daam,roadsize(feet),Road type,Years ago,Area(sq ft),Price
5,4,N/A,1,"Sital Height, Imadol, Godawari, Lalitpur",0,3,0,0,13,Gravelled,1,1026.75,16500000
6,6,3,2,"Na, Golfutar, Kathmandu",6,,,,15,Blacktopped,2,1093.5,45000000
4,2,2,1,"Townplanning, Pepsicola, Kathmandu",0,2,2,0,10,Gravelled,1,855.62,12500000
8,7,3.5,2,"Harisiddhi, Harisiddhi, Lalitpur",7,1,,,10,Soil Stabilized,3,1618,33000000
10,3,4,4,"Near Rave Futsal Center, Sukedhara, Kathmandu",3,,,,25,Blacktopped,1,546.75,28000000
10,3,3,0,"Baniyatar, Baniyatar, Kathmandu",4,,,,16,Soil Stabilized,2,729,22000000
8,4,3,5,"Harihar Marg, Dhapasi, Dhapasi, Kathmandu",0,8,3,0,12,Concrete,2,2994.68,40000000
5,2,3,1,"HarHar Mahadev Chowk, Kadaghari, Kathmandu",3,,,,12,Blacktopped,2,546.75,17000000
5,3,2,4,"Mahadevtar, Kavresthali, Kathmandu",0,4,1,0,13,Blacktopped,1,1454.56,24000000
9,1,3,1,"Bhaktapur, Bhaktapur, Bhaktapur",0,6,0,0,20,Gravelled,2,2053.5,21500000
6,3,N/A,2,"bansbari, Bansbari, Kathmandu",0,8,0,0,20,Soil Stabilized,1,2738,49500000
6,4,3,1,"Kausaltar, Kausaltar, Bhaktapur",4,,,,20,Gravelled,1,729,32500000
10,5,3.5,4,"Nepaltar, Nepaltar, Kathmandu",0,3,2,0,15,Gravelled,1,1197.87,25000000
9,5,3,3,"Manbhawan, AVM, Chowk, Manbhawan, Lalitpur",0,10,0,0,13,Blacktopped,1,3422.5,62500000
4,4,N/A,0,"Na, Budhanilkantha, Kathmandu",12,,,,20,Blacktopped,1,2187,67500000
6,3,2.5,2,"Sital height, Imadol, Lalitpur",0,3,2,0,13,Gravelled,2,1197.87,20000000
5,3,2,0,"Nawalparasi, Nawalparasi, Nawalparasi",7,5,,,20,Gravelled,1,2987,12500000
0,3,N/A,2,"hapali height, Budhanilkantha, Kathmandu",5,,,,0,Gravelled,0.666666667,911.25,47500000
7,3,3,1,"Sipadol, Sipadol, Bhaktapur",0,3,2,0,10,Gravelled,2,1197.87,19000000
